Original Title,Similarity String Title,Similarity,Cleaned Title
Rachael Starr - to forever (moonbeam remix),Rachael Starr To Forever Moonbeam Remix,1,Rachael Starr to forever moonbeam remix
GAPTOOF & KEAN KAVANAGH - DEAN STREET,Kean Kavanagh Gaptoof Dean Street,0.9285714285714286,GAPTOOF KEAN KAVANAGH DEAN STREET
Kamaal Williams - 1989 (feat. Miguel Atwood-Ferguson) (Official Audio),Miguel Atwood Ferguson Kamaal Williams 1989,0.972972972972973,Kamaal Williams 1989 Miguel Atwood Ferguson
Sascha Dive - Jus Groove (Dub Version),Sascha Dive Jus Groove Dub Version,1,Sascha Dive Jus Groove Dub Version
Everything You Do Is A Balloon,Astroblk Everything You Do Is a Balloon,0.8571428571428571,Everything You Do Is A Balloon
For Those I Love - I Have a Love (Overmono Remix),For Those I Love I Have a Love Overmono Remix,1,For Those I Love I Have a Love Overmono Remix
Mr. Tophat - Time Lapse (DJ Tennis Disko Bang Club Mix),Mr Tophat Time Lapse DJ Tennis Disko Bang Club Mix,1,Mr Tophat Time Lapse DJ Tennis Disko Bang Club Mix
Roxy Music - In Every Dream Home a Heartache,Roxy Music In Every Dream Home A Heartache,1,Roxy Music In Every Dream Home a Heartache
Lake Haze - Dog Walking In The Park,Lake Haze Dog Walking in the Park,1,Lake Haze Dog Walking In The Park
Scalameriya - Summoning Sequence ( Ancient Methods Remix ),Scalameriya Summoning Sequence Ancient Methods Remix,1,Scalameriya Summoning Sequence Ancient Methods Remix
DJ Hell - Out Of Control (Official),DJ Hell Out Of Control,1,DJ Hell Out Of Control
"Headie One, Fred again.., Jamie xx - Smoke (feat. Jamie xx)",Fred again Headie One Smoke Jamie xx,0.8307692307692308,Headie One Fred again Jamie xx Smoke Jamie xx
DJOKO - It All Comes To An End,DJOKO It All Comes to an End,1,DJOKO It All Comes To An End
Konx-om-Pax - Shibuya Sunset (Hardcore mix),Konx Om Pax Shibuya Sunset Hardcore Mix,1,Konx om Pax Shibuya Sunset Hardcore mix
I Have a Love (Overmono Remix),For Those I Love I Have a Love Overmono Remix,0.7719298245614035,I Have a Love Overmono Remix
Just the Way You Are (Liquid People Solid Bass Vocal),Milky Just the Way You Are Liquid People Solid Bass Vocal,0.9425287356321839,Just the Way You Are Liquid People Solid Bass Vocal
Justice - Let There Be Light - †,Justice Let There Be Light,0.9767441860465116,Justice Let There Be Light †
Hot Chip - How Do You Do? (Todd Terje remix),Hot Chip How Do You Do Todd Terje remix,1,Hot Chip How Do You Do Todd Terje remix
Niles Cooper - Elegy For An Innocence Lost,Niles Cooper Elegy for an Innocence Lost,1,Niles Cooper Elegy For An Innocence Lost
Boards of Canada - Dayvan Cowboy,Boards of Canada Dayvan Cowboy,1,Boards of Canada Dayvan Cowboy
Fantastic Mr. Fox - Sepia Song,Fantastic Mr Fox Sepia Song,1,Fantastic Mr Fox Sepia Song
Arthur Russell - This Is How We Walk On The Moon,Arthur Russell This Is How We Walk on the Moon,1,Arthur Russell This Is How We Walk On The Moon
In the Morning Club (Let Your Love Come In) - Egypt [Club Mix],Egypt In The Morning Original Club Mix,0.7241379310344828,In the Morning Club Egypt Club Mix
Enter Shikari - Juggernauts (Nero Remix),Enter Shikari Juggernauts Nero Remix,1,Enter Shikari Juggernauts Nero Remix
Earl Sweatshirt - Sunday (feat. Frank Ocean),Earl Sweatshirt Sunday Frank Ocean,1,Earl Sweatshirt Sunday Frank Ocean
This Time (Carl Craig Mix 2),Jonny L This Time Carl Craig Mix 2,0.8695652173913043,This Time Carl Craig Mix 2
London Grammar - Hey Now (Sasha Remix),London Grammar Hey Now Sasha Remix,1,London Grammar Hey Now Sasha Remix
Severed Heads ‎– All Saints Day,Severed Heads All Saints Day,0.9166666666666666,Severed Heads ‎– All Saints Day
High Contrast - Music Is Everything,High Contrast Music Is Everything,1,High Contrast Music Is Everything
Two Lone Swordsmen - Glide By Shooting,Two Lone Swordsmen Glide by Shooting,1,Two Lone Swordsmen Glide By Shooting
Sander Kleinenberg - My Lexicon (Original Mix),Sander Kleinenberg My Lexicon Original Mix,1,Sander Kleinenberg My Lexicon Original Mix
MP Productions (Mark Pritchard) - Be Like Water (Official Audio),Mark Pritchard Be Like Water,0.4782608695652174,MP Productions Be Like Water
Orbital - Halcyon On and On,Orbital Halcyon and On and On,0.8837209302325582,Orbital Halcyon On and On
Surgeon - Hostages Of The Deep,Surgeon Hostages Of The Deep,1,Surgeon Hostages Of The Deep
Sabres of Paradise - Smokebelch II (David Holmes Mix),The Sabres Of Paradise Smokebelch II David Holmes Mix,0.9647058823529412,Sabres of Paradise Smokebelch II David Holmes Mix
JIMMY EDGAR - GET UP feat. Danny Brown (Official Stream),JIMMY EDGAR GET UP Danny Brown,1,JIMMY EDGAR GET UP Danny Brown
Big L - Put It On (Official Music Video),Big L Put It On,1,Big L Put It On
Enter Shikari - Anything Can Happen In The Next Half Hour,Enter Shikari Anything Can Happen In the Next Half Hour,1,Enter Shikari Anything Can Happen In The Next Half Hour
Rhyw - It Was All Happening [FAM08],Rhyw It Was All Happening,1,Rhyw It Was All Happening
Love Over Entropy - Tonii (Dixon Retouch) (SoHaSo 006),Love Over Entropy Tonii Dixon Retouch,1,Love Over Entropy Tonii Dixon Retouch
Los Hermanos - Birth Of 3000,Los Hermanos Birth of 3000,1,Los Hermanos Birth Of 3000
Killahurtz~West On 27th [A Tribe Called KHz Mix],Killahurtz West On 27th A Tribe Called KHz Mix,1,Killahurtz West On 27th A Tribe Called KHz Mix
David From Venus & Baridi Baridi Le Secret Die Jungle Remix,Baridi Baridi David From Venus Le Secret Die Jungle Remix,0.9574468085106383,David From Venus Baridi Baridi Le Secret Die Jungle Remix
Envoy - Dark Manoeuvres (Slam Remix),Envoy Dark Manoeuvres Slam Remix,1,Envoy Dark Manoeuvres Slam Remix
Caribou - Can't Do Without You (Tale Of Us & Mano Le Tough Remix),Tale Of Us Caribou Can't Do Without You Tale of Us Mano Le Tough Remix,0.9215686274509803,Caribou Can't Do Without You Tale Of Us Mano Le Tough Remix
Sunfreakz feat. Andrea Britton - Counting Down The Days (Extended Mix),Andrea Britton Sunfreakz Counting Down The Days Original Extended Vocal Mix,0.8173913043478261,Sunfreakz Andrea Britton Counting Down The Days Extended Mix
MJ Cole & Wiley - From The Drop,Wiley MJ Cole From The Drop,0.9047619047619048,MJ Cole Wiley From The Drop
"Dizzee Rascal, Ocean Wisdom - Don't Be Dumb (Lyric Video)",Ocean Wisdom Dizzee Rascal Don't Be Dumb,0.9696969696969697,Dizzee Rascal Ocean Wisdom Don't Be Dumb
BluePrint (UK) - Could This B? (Extended Mix) [Stress Records],BluePrint Could This B Extended Mix,1,BluePrint Could This B Extended Mix
Busta Rhymes - Look Over Your Shoulder (Visualizer) ft. Kendrick Lamar,Busta Rhymes Look Over Your Shoulder Kendrick Lamar,1,Busta Rhymes Look Over Your Shoulder Kendrick Lamar
Phonique: Reality Check feat. Eddie Fowlkes (Tapesh Remix),Eddie Fowlkes Phonique Reality Check Tapesh Remix,0.9176470588235294,Phonique: Reality Check Eddie Fowlkes Tapesh Remix
Sarah Mclachlan - Fallen (Gabriel and Dresden Remix),Dave Dresden Josh Gabriel Sarah McLachlan Fallen Gabriel Dresden Anti Gravity Mix,0.6545454545454545,Sarah Mclachlan Fallen Gabriel and Dresden Remix
Human League - The Things That Dreams Are Made Of [Original Dub Edit] (Control Room Recordings),The Human League The Things That Dreams Are Made Of Original Dub Edit,0.9724770642201835,Human League The Things That Dreams Are Made Of Original Dub Edit
Tiësto feat. Tegan and Sara - Feel It In My Bones,Tegan and Sara Tiësto Feel It In My Bones Tegan Sara,0.821917808219178,Tiësto Tegan and Sara Feel It In My Bones
The Fall - Big New Prinz,The Fall Big New Prinz,1,The Fall Big New Prinz
Mondo - Work Me Baby (Original Mix) [DRH035],Mondo Work Me Baby Original Mix 2,0.9803921568627451,Mondo Work Me Baby Original Mix
Ramadanman - Don't Change For Me,Ramadanman Don't Change for Me,1,Ramadanman Don't Change For Me
Daniel Bortz - You Can Stay Forever [PERMVAC208-1],Daniel Bortz You Can Stay Forever,1,Daniel Bortz You Can Stay Forever
Solar Stone - Day By Day (Red Jerry 'Smack The Bigot Up' Dub) [HQ],Solarstone Day By Day Red Jerry's Smack The Bigot Up Dub,0.9555555555555556,Solar Stone Day By Day Red Jerry 'Smack The Bigot Up' Dub
Todd Edwards - Love Inside (Alternate Mix),Todd Edwards Love Inside Alternate Mix,1,Todd Edwards Love Inside Alternate Mix
3 Of A Kind - Babycakes,3 Of A Kind Babycakes,1,3 Of A Kind Babycakes
LDS - Spacecraft To Saturn (Panorama Lounge Mix) [TAR005],LDS Spacecra to Saturn Panorama Lounge Mix,1,LDS Spacecra To Saturn Panorama Lounge Mix
Roy Davis Jr ft Peven Everett - Gabriel (Live Garage Version),Peven Everett Roy Davis Jr Gabriel Live Garage Version,0.9555555555555556,Roy Davis Jr Peven Everett Gabriel Live Garage Version
Mosquito Headz - El Ritmo (Tandu Radio Edit),Mosquito Headz El Ritmo Tandu Radio Edit,1,Mosquito Headz El Ritmo Tandu Radio Edit
Hot Chip - Over and Over (Official Video) (HD),Hot Chip Over And Over,1,Hot Chip Over and Over
PATRICE RUSHEN   FEELS SO REAL,Patrice Rushen Feels So Real,1,PATRICE RUSHEN FEELS SO REAL
XVOTO - Mommy Can’t Sleep,XVOTO Mommy Can't Sleep,0.918918918918919,XVOTO Mommy Can t Sleep
Real Tears - The Beauty of a Sharpened Blade,Real Tears The Beauty Of A Sharpened Blade,1,Real Tears The Beauty of a Sharpened Blade
Jonny L - I Let U,Jonny L I Let U,1,Jonny L I Let U
My Bloody Valentine - When You Sleep,Mira When You Sleep My Bloody Valentine cover,0.8307692307692308,My Bloody Valentine When You Sleep
Aesop Rock - None Shall Pass,Aesop Rock None Shall Pass,1,Aesop Rock None Shall Pass
BAILE - Amae (Sasha fabric2099 Mix),BAILE Amae Sasha fabric2099 Mix,1,BAILE Amae Sasha fabric2099 Mix
Tom Zeta - Hong Kong Harbour [Eleatics Records],Tom Zeta Hong Kong Harbour,1,Tom Zeta Hong Kong Harbour
Alan Braxe & Fred Falke - Palladium (Official),Alan Braxe Fred Falke Palladium,1,Alan Braxe Fred Falke Palladium
